ccaa,year,sexo,tasabrutaFP_basica
Andalucia,2015,hombre,4.6
Andalucia,2015,mujer,1.7
Andalucia,2016,hombre,5.4
Andalucia,2016,mujer,2.0
Andalucia,2017,hombre,5.6
Andalucia,2017,mujer,2.1
Andalucia,2018,hombre,5.7
Andalucia,2018,mujer,2.2
Andalucia,2019,hombre,5.6
Andalucia,2019,mujer,2.4
Andalucia,2020,hombre,6.9
Andalucia,2020,mujer,2.8
Andalucia,2021,hombre,5.6
Andalucia,2021,mujer,2.1
Andalucia,2022,hombre,6.1
Andalucia,2022,mujer,2.5
Aragon,2015,hombre,6.4
Aragon,2015,mujer,2.4
Aragon,2016,hombre,8.4
Aragon,2016,mujer,3.9
Aragon,2017,hombre,8.0
Aragon,2017,mujer,3.0
Aragon,2018,hombre,8.3
Aragon,2018,mujer,4.0
Aragon,2019,hombre,7.9
Aragon,2019,mujer,3.4
Aragon,2020,hombre,9.0
Aragon,2020,mujer,4.1
Aragon,2021,hombre,7.2
Aragon,2021,mujer,2.9
Aragon,2022,hombre,8.3
Aragon,2022,mujer,3.8
Asturias,2015,hombre,2.3
Asturias,2015,mujer,1.2
Asturias,2016,hombre,2.6
Asturias,2016,mujer,1.1
Asturias,2017,hombre,3.3
Asturias,2017,mujer,1.2
Asturias,2018,hombre,3.6
Asturias,2018,mujer,1.1
Asturias,2019,hombre,4.2
Asturias,2019,mujer,1.5
Asturias,2020,hombre,3.2
Asturias,2020,mujer,1.5
Asturias,2021,hombre,3.4
Asturias,2021,mujer,1.4
Asturias,2022,hombre,2.8
Asturias,2022,mujer,1.5
Canarias,2015,hombre,4.4
Canarias,2015,mujer,1.6
Canarias,2016,hombre,6.1
Canarias,2016,mujer,2.1
Canarias,2017,hombre,5.9
Canarias,2017,mujer,2.9
Canarias,2018,hombre,6.1
Canarias,2018,mujer,2.5
Canarias,2019,hombre,6.8
Canarias,2019,mujer,2.6
Canarias,2020,hombre,6.1
Canarias,2020,mujer,2.8
Canarias,2021,hombre,5.3
Canarias,2021,mujer,2.3
Canarias,2022,hombre,5.6
Canarias,2022,mujer,2.0
Cantabria,2015,hombre,5.5
Cantabria,2015,mujer,2.2
Cantabria,2016,hombre,5.9
Cantabria,2016,mujer,2.3
Cantabria,2017,hombre,6.0
Cantabria,2017,mujer,2.9
Cantabria,2018,hombre,5.3
Cantabria,2018,mujer,3.3
Cantabria,2019,hombre,7.0
Cantabria,2019,mujer,3.0
Cantabria,2020,hombre,7.1
Cantabria,2020,mujer,2.5
Cantabria,2021,hombre,5.3
Cantabria,2021,mujer,2.3
Cantabria,2022,hombre,5.5
Cantabria,2022,mujer,2.0
Castilla La Mancha,2015,hombre,5.0
Castilla La Mancha,2015,mujer,2.7
Castilla La Mancha,2016,hombre,7.5
Castilla La Mancha,2016,mujer,3.3
Castilla La Mancha,2017,hombre,8.4
Castilla La Mancha,2017,mujer,3.8
Castilla La Mancha,2018,hombre,7.9
Castilla La Mancha,2018,mujer,3.6
Castilla La Mancha,2019,hombre,8.6
Castilla La Mancha,2019,mujer,4.0
Castilla La Mancha,2020,hombre,9.4
Castilla La Mancha,2020,mujer,4.4
Castilla La Mancha,2021,hombre,8.3
Castilla La Mancha,2021,mujer,3.7
Castilla La Mancha,2022,hombre,7.5
Castilla La Mancha,2022,mujer,3.9
Castilla y Leon,2015,hombre,5.5
Castilla y Leon,2015,mujer,2.5
Castilla y Leon,2016,hombre,5.4
Castilla y Leon,2016,mujer,3.0
Castilla y Leon,2017,hombre,7.2
Castilla y Leon,2017,mujer,2.9
Castilla y Leon,2018,hombre,7.1
Castilla y Leon,2018,mujer,3.5
Castilla y Leon,2019,hombre,7.3
Castilla y Leon,2019,mujer,3.2
Castilla y Leon,2020,hombre,8.3
Castilla y Leon,2020,mujer,4.0
Castilla y Leon,2021,hombre,6.8
Castilla y Leon,2021,mujer,3.0
Castilla y Leon,2022,hombre,7.1
Castilla y Leon,2022,mujer,3.5
Cataluña,2015,hombre,0.0
Cataluña,2015,mujer,0.0
Cataluña,2016,hombre,0.0
Cataluña,2016,mujer,0.0
Cataluña,2017,hombre,0.0
Cataluña,2017,mujer,0.0
Cataluña,2018,hombre,0.0
Cataluña,2018,mujer,0.0
Cataluña,2019,hombre,0.0
Cataluña,2019,mujer,0.0
Cataluña,2020,hombre,0.0
Cataluña,2020,mujer,0.0
